country,Country,NY.GDP.MKTP.PP.KD,SP.POP.GROW,SP.POP.TOTL,SP.POP.TOTL.FE.IN
COL,Colombia,961819615833.414,1.12092864340999,52321152.0,26502596.0
CHN,China,32004884803945.3,-0.103794531589067,1410710000.0,691540464.0
CHL,Chile,581187468274.136,0.53962870957127,19658835.0,9888681.0
TCD,Chad,47005191271.9674,4.57399213394625,19319064.0,9627875.0
CAF,Central African Republic,5836025843.19088,1.06107453184959,5152421.0,2684793.0
CYM,Cayman Islands,5819365232.47743,2.00104859136332,73038.0,36362.0
CAN,Canada,2305499512574.39,2.90468017061162,40083484.0,20178393.0
CMR,Cameroon,138323976561.878,2.64245336134821,28372687.0,14232102.0
KHM,Cambodia,116657963460.597,1.28320677599476,17423880.0,8889929.0
CPV,Cabo Verde,4820310977.0386,0.497087597239901,522331.0,256640.0
BDI,Burundi,14184558007.7479,2.72764441044431,13689450.0,6889475.0
BFA,Burkina Faso,57246838520.8113,2.26973666268599,23025776.0,11557013.0
BGR,Bulgaria,213214129895.954,-0.286577641861364,6446596.0,3326573.0
BRN,Brunei Darussalam,35163158531.4447,0.782881746925984,458949.0,215060.0
BRA,Brazil,4028525459883.49,0.395928695574996,211140729.0,107227668.0
BWA,Botswana,46957170597.845,1.64031664035479,2480244.0,1243275.0
BIH,Bosnia and Herzegovina,63080320606.853,-0.617510129445164,3185073.0,1670406.0
BOL,Bolivia,142230080127.765,1.37334382280772,12244159.0,6108428.0
BTN,Bhutan,11489317550.7216,0.698146584889649,786385.0,365702.0
BMU,Bermuda,6667280834.70371,-0.0787967316952785,64698.0,33018.0
BEN,Benin,52510156788.1442,2.52274772277722,14111034.0,7036429.0
BLZ,Belize,5085795883.93117,2.05772774277288,411106.0,203619.0
BEL,Belgium,743260425205.666,0.850263748167955,11779946.0,5973333.0
BLR,Belarus,254995495258.99,-0.540824986374776,9178298.0,4900868.0
BRB,Barbados,6019028712.5404,0.00637558575909917,282336.0,146972.0
BGD,Bangladesh,1413299173688.33,1.22171475464107,171466990.0,87109279.0
BHR,Bahrain,91185401848.1927,3.37686417721007,1577059.0,598073.0
BHS,"Bahamas, The",14068783966.2643,0.477303918283875,399440.0,208531.0
AZE,Azerbaijan,216388345622.489,0.120242150339289,10153958.0,5178464.0
AUT,Austria,589330050842.331,0.989464653969154,9131761.0,4637070.0
AUS,Australia,1617856290055.37,2.43450716351535,26659922.0,13432672.0
ABW,Aruba,4505295870.27862,0.0456516784920034,107359.0,56653.0
ARM,Armenia,57515575060.7049,-0.165163937436499,2964300.0,1589229.0
ARG,Argentina,1240028731129.33,0.286976121920089,45538401.0,22941417.0
ATG,Antigua and Barbuda,2657083928.89311,0.511400156215609,93316.0,48908.0
AGO,Angola,322967768020.026,3.08065530722915,36749906.0,18568216.0
AND,Andorra,5225828100.9848,1.43374756867515,80856.0,39502.0
DZA,Algeria,699818363984.642,1.49897601193923,46164219.0,22614984.0
ALB,Albania,49443120128.3605,-1.54310811387613,2414095.0,1220548.0
AFG,Afghanistan,82238478027.9442,2.13559384981397,41454761.0,20530683.0
